fold,iso,a,b,c,lat,lng,training_count
0,NO,70,102,147,66.87140031569692,14.90316378814379,51
0,NO,70,102,153,68.18066190320418,13.528486005365052,18
0,NO,71,101,160,61.53386415847577,10.084074242766768,5
0,NO,71,105,146,63.41121743778407,10.493886286258544,11
0,NO,71,105,155,63.296217199481895,9.088795285284968,13
0,NO,71,106,151,62.07264258783476,12.24132587384776,36
0,NO,71,106,160,61.80152700000002,10.223131,1
0,PL,72,110,177,49.82065993643734,19.315496944024837,9
0,PL,72,117,163,50.186135866335775,22.758869878407594,2
0,PL,72,117,168,50.60364100182116,21.721709779387442,4
0,PL,72,117,172,49.787529000018274,21.85585176789807,55
0,PL,72,119,168,50.70353530818867,20.723398909731646,24
0,PL,72,119,177,49.954290739904295,20.02943603136779,20
0,PL,73,108,163,50.787159427382214,23.1479447369192,22
0,PL,73,108,171,51.63353178241465,23.136850001008593,32
0,PL,73,108,176,51.450234862219716,22.17634923322561,24
0,PL,73,112,166,52.19011799999999,22.102179,1
0,PL,73,112,171,52.297009316229634,22.553159589794276,2
0,PL,73,112,176,51.6114754010663,21.767390069102312,18
0,PL,73,117,163,50.50049581972271,22.632914581937758,3
0,PL,73,119,168,51.06713050015563,21.28188003449138,2
0,PL,74,109,173,53.6931091050635,21.386140279427774,11
0,PL,74,111,170,53.30639450136422,22.825827227154196,38
0,PL,74,111,178,54.123633233609645,22.69667240913153,32
0,PL,74,112,166,52.681865,22.297236000000005,1
0,PL,75,113,162,53.708316236612916,16.1253076693583,20
0,PL,75,113,169,53.20692993820751,15.010710535320294,57
0,PL,75,113,179,52.57118354051772,16.67712216610617,5
0,PL,75,115,179,52.55412,17.44755,1
0,PL,75,116,179,52.937182,17.389882,1
0,PL,75,118,165,52.03670059712788,15.216369653633294,2
0,PL,75,118,179,52.293588,16.743928,1
0,PL,76,113,162,54.02836758455268,16.25771703243993,4
0,PL,76,114,162,54.09671342028067,16.845333601760803,21
0,PL,76,114,164,54.47375598120627,17.957180619329662,55
0,PL,76,116,174,53.401776202148106,17.869131246886386,5
0,PL,77,110,167,50.56994688146401,18.544032146889485,28
0,PL,77,110,177,50.13770474631031,18.919197020424903,2
0,PL,77,115,167,51.220202411614274,18.56057426494512,6
0,PL,77,115,179,51.79367351767368,17.8218841502362,16
0,PL,77,118,165,51.11677089128669,16.135403162554905,28
0,PL,77,118,167,50.764151664788756,17.284176505204815,4
0,PL,77,118,179,51.644384,16.925847,1
0,PL,78,109,166,52.85955668302894,20.44860805870409,3
