fold,partition,iso,country_index,local_label,global_label,lat,lng,training_count
3,c,FI,3,16,70,64.65232966822649,25.107851552459596,33
3,c,FI,3,17,71,65.26338989481494,27.970764813211105,42
3,coarse,FI,3,0,18,64.26025346111177,27.974450638247237,147
3,coarse,FI,3,1,19,62.277415625167414,28.899346099192936,129
3,coarse,FI,3,2,20,61.069683254426984,23.88166368338944,126
3,coarse,FI,3,3,21,67.73494848484731,26.028487795606086,130
3,coarse,FI,3,4,22,62.81737127298025,23.42570210266129,132
3,coarse,FI,3,5,23,66.036078303353,26.952669252700236,136
3,fine,FI,3,0,60,61.92002418831386,24.087327969665886,49
3,fine,FI,3,1,61,67.32572534369886,28.026547825180774,40
3,fine,FI,3,2,62,66.19170919686653,28.923039623344962,37
3,fine,FI,3,3,63,63.635521813838615,26.352645765785176,42
3,fine,FI,3,4,64,68.44911143776042,27.30016787583949,27
3,fine,FI,3,5,65,65.92336473164292,25.041511823169966,40
3,fine,FI,3,6,66,62.08545349706404,29.67197947713977,40
3,fine,FI,3,7,67,64.65041222539271,25.270737602184564,34
3,fine,FI,3,8,68,67.89089715953837,24.479962130350433,44
3,fine,FI,3,9,69,61.12779980782514,22.580857737216572,47
3,fine,FI,3,10,70,62.595354703862796,22.215973954997317,47
3,fine,FI,3,11,71,63.14847380236758,29.479638699816203,53
3,fine,FI,3,12,72,65.23269346925791,27.976216081687593,43
3,fine,FI,3,13,73,63.19392076798111,22.59568356215563,27
3,fine,FI,3,14,74,62.52306384907714,26.552299756720803,35
3,fine,FI,3,15,75,64.30436560645575,29.03004649569827,68
3,fine,FI,3,16,76,60.9769876940859,25.63928278369011,23
3,fine,FI,3,17,77,60.44655661265997,24.177549845469287,29
3,fine,FI,3,18,78,61.33371376536441,27.900360885482886,29
3,fine,FI,3,19,79,66.90538935182087,25.41957502063457,46
3,a,FR,4,0,32,49.40179158762045,2.0293303720461005,100
3,a,FR,4,1,33,44.298393178859705,-0.1921830991391196,165
3,a,FR,4,2,34,48.50391201946051,-2.9980218853935887,123
3,a,FR,4,3,35,42.0163822330982,9.207207197430607,52
3,a,FR,4,4,36,43.75216249872279,5.054555136604688,97
3,a,FR,4,5,37,46.69902256859938,0.2768598209681833,79
3,a,FR,4,6,38,48.495165197986644,5.8278881649771686,70
3,a,FR,4,7,39,46.45454147468036,4.3763012758304916,114
3,b,FR,4,0,48,49.80972454692559,2.332778254457397,69
3,b,FR,4,1,49,43.87164034201399,5.882957052744103,69
3,b,FR,4,2,50,48.85160100402579,-1.2254809450343958,66
3,b,FR,4,3,51,44.343349528465204,-0.7436929273551401,122
3,b,FR,4,4,52,46.25609126405612,4.870898940256581,81
3,b,FR,4,5,53,47.806361831313,2.7920616636651836,70
3,b,FR,4,6,54,48.518071172906815,6.093520591058724,59
3,b,FR,4,7,55,46.56503192696856,-0.447673678250381,59
3,b,FR,4,8,56,42.0163822330982,9.207207197430607,52
3,b,FR,4,9,57,45.11832740252701,2.053077204695088,44
3,b,FR,4,10,58,43.279515757333314,2.1637374470087316,43
3,b,FR,4,11,59,48.31842053657543,-4.230679986881918,66
3,c,FR,4,0,72,43.810729698171215,5.916379623678657,65
3,c,FR,4,1,73,49.34784361421196,-1.015576418695507,44
3,c,FR,4,2,74,47.84245669748615,3.799127166840316,41
3,c,FR,4,3,75,45.50978333942544,5.175622720205423,29
3,c,FR,4,4,76,42.0163822330982,9.207207197430607,52
3,c,FR,4,5,77,43.19239819082987,2.692723608656936,31
3,c,FR,4,6,78,43.7346629139089,0.5752706372296353,32
3,c,FR,4,7,79,45.73489528780342,-0.46991307151662176,49
3,c,FR,4,8,80,46.3490979558415,3.968684312799279,36
3,c,FR,4,9,81,47.46008081302088,1.2081103450619126,41
3,c,FR,4,10,82,48.723811843589516,6.226737024671292,46
3,c,FR,4,11,83,49.09925660186839,1.979448445767871,39
3,c,FR,4,12,84,50.25643387879288,2.851428573775621,37
3,c,FR,4,13,85,44.26332109921723,-0.9967621853079892,86
3,c,FR,4,14,86,46.94012303731754,5.886566657156331,30
3,c,FR,4,15,87,48.39784531489508,-4.381393293797696,59
3,c,FR,4,16,88,45.14793369381731,2.015023376524541,40
3,c,FR,4,17,89,47.6628921350846,-1.7758579279532791,43
3,coarse,FR,4,0,24,44.694902218493645,-0.026205293727937534,215
3,coarse,FR,4,1,25,49.057914132883774,2.036263190703603,126
3,coarse,FR,4,2,26,42.0163822330982,9.207207197430607,52
3,coarse,FR,4,3,27,48.37435724535732,-2.7212573513746445,140
3,coarse,FR,4,4,28,43.91731576361748,5.032529513084497,108
3,coarse,FR,4,5,29,47.38105517777142,5.068905692400581,159
3,fine,FR,4,0,80,50.18645028822523,3.002940330329231,37
3,fine,FR,4,1,81,48.3942055457321,-4.408125671360522,58
3,fine,FR,4,2,82,42.0163822330982,9.207207197430607,52
3,fine,FR,4,3,83,47.810241983459186,-2.0031805577243134,36
3,fine,FR,4,4,84,46.664656704330966,-0.11145424040826173,41
3,fine,FR,4,5,85,43.810012142862554,6.471681328608469,38
3,fine,FR,4,6,86,45.08818662064083,1.987121735654088,39
3,fine,FR,4,7,87,43.21623097218908,2.836359682268772,26
3,fine,FR,4,8,88,45.092791472898874,-0.7210242136420271,57
3,fine,FR,4,9,89,46.33372856785262,3.940495351670335,37
3,fine,FR,4,10,90,44.05838427754863,-1.0041472377140832,63
3,fine,FR,4,11,91,46.94012303731754,5.886566657156331,30
3,fine,FR,4,12,92,49.31530912787839,-1.2291447650664353,38
3,fine,FR,4,13,93,49.346394624098245,1.4767131837331937,38
3,fine,FR,4,14,94,45.50978333942544,5.175622720205423,29
3,fine,FR,4,15,95,47.78436880907153,1.8406406622290603,39
3,fine,FR,4,16,96,43.55135264975967,0.7413390474748602,31
3,fine,FR,4,17,97,47.886598086796965,3.969514350254608,38
3,fine,FR,4,18,98,48.736843136835574,6.249886609264887,45
3,fine,FR,4,19,99,43.79897420552745,5.0934820322127585,28
3,a,GB,5,0,40,50.369635753929984,-4.833003291918647,128
3,a,GB,5,1,41,55.39376319007209,-3.066839103041474,98
3,a,GB,5,2,42,51.77215627424514,-0.24435126873362423,85
3,a,GB,5,3,43,52.21239227737056,-3.4309317543467666,63
3,a,GB,5,4,44,53.52755888104244,-1.0369193392610698,102
3,a,GB,5,5,45,58.482982871571174,-4.639007252945066,129
3,a,GB,5,6,46,54.64293648644364,-6.444811165017059,46
3,a,GB,5,7,47,56.82798780421815,-4.705808200570143,149
3,b,GB,5,0,60,59.281458862830625,-2.7949159579862792,20
3,b,GB,5,1,61,52.11094833518525,0.5461989230031367,39
3,b,GB,5,2,62,54.68700532262979,-6.278582798383114,51
3,b,GB,5,3,63,50.366752564568365,-4.851348567145389,127
3,b,GB,5,4,64,53.83813843711761,-2.7388138436058167,34
3,b,GB,5,5,65,57.22733111994027,-3.5162829886629194,58
3,b,GB,5,6,66,55.4644508422912,-2.721387690139408,73
3,b,GB,5,7,67,52.20228315977619,-3.850636251716961,44
3,b,GB,5,8,68,53.46806700765726,-0.7151050551042462,81
3,b,GB,5,9,69,51.556311334426304,-1.1835030150548347,61
3,b,GB,5,10,70,56.33156422837887,-5.100510883108145,90
3,b,GB,5,11,71,58.237184401639375,-5.173954721192685,122
3,c,GB,5,0,90,52.471913154290114,-3.501886574414589,23
3,c,GB,5,1,91,57.22733111994027,-3.5162829886629194,58
3,c,GB,5,2,92,50.36060734575774,-4.856033145064707,126
3,c,GB,5,3,93,54.064795788863286,-2.8849507023370076,22
3,c,GB,5,4,94,58.449174698353545,-4.591806191106665,72
3,c,GB,5,5,95,57.91437404170016,-5.995360168666698,51
3,c,GB,5,6,96,51.80871252374993,-4.7447754661543335,16
3,c,GB,5,7,97,54.68700532262979,-6.278582798383114,51
3,c,GB,5,8,98,52.20775560433664,-0.8876789419949443,36
3,c,GB,5,9,99,53.14119018859967,-0.7040914258678396,39
3,c,GB,5,10,100,55.4644508422912,-2.721387690139408,73
3,c,GB,5,11,101,53.843430405007375,-0.7442331282550247,44
3,c,GB,5,12,102,51.245266817838605,0.03465946903367286,27
3,c,GB,5,13,103,59.281458862830625,-2.7949159579862792,20
3,c,GB,5,14,104,51.39126236491085,-1.930844869097253,27
3,c,GB,5,15,105,56.32103705935114,-5.09324255783686,89
